Unnamed: 0,தமிழ் குறள்,ENGLISH VERSE,தமிழ் விளக்கம்,ENGLISH EXPLANATION,Chapters (Adhikarams),அதிகாரம்,இயல்  ,Subdivisions (Iyals),Section (Paal),பால்
11,வானின் றுலகம் வழங்கி வருதலால் தானமிழ்தம் என்றுணரற் பாற்று,The world survives because of the rains and therefore rain is known to be the nectar of immortality.,"மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்","The world its course maintains through life that rain unfailing gives;Thus rain is known the true ambrosial food of all that lives.By the continuance of rain the world is preserved in existence; it is therefore worthy to be called ambrosia.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
12,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉ மழை,"Oh rain! You not only create everything we eat,you are the indispensable food yourself.","உண்பவர்க்குத் தக்க உணவுப் பொருள்களை விளைவித்துத் தருவதோடு, பருகுவோர்க்குத் தானும் ஓர் உணவாக இருப்பது மழையாகும்","The rain makes pleasant food for eaters rise;As food itself, thirst-quenching draught supplies.Rain produces good food, and is itself food.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
13,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின் றுடற்றும் பசி,"If the skies fail to rain, the world,though surrounded by sea, will yet suffer of hunger.","மழை பெய்யாமல் பொய்படுமானால், கடல் சூழ்ந்த அகன்ற உலகமாக இருந்தும் பசி உள்ளே நிலைத்து நின்று உயிர்களை வருத்தும்","If clouds, that promised rain, deceive, and in the sky remain,Famine, sore torment, stalks o'er earth's vast ocean-girdled plain.If the cloud, withholding rain, deceive (our hopes) hunger will long distress the sea-girt spacious world.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
14,ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால்,"If the monsoons fail,farmers won’t till their lands to produce food.","மழை என்னும் வருவாய் வளம் குன்றி விட்டால், ( உணவுப் பொருள்களை உண்டாக்கும்) உழவரும் ஏர் கொண்டு உழமாட்டார்","If clouds their wealth of waters fail on earth to pour,The ploughers plough with oxen's sturdy team no more.If the abundance of wealth imparting rain diminish, the labour of the plough must cease.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
15,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை,It is the tormentor; it is the saviour of the tormented:the rain is everything for us.,பெய்யாமல் வாழ்வைக் கெடுக்க வல்லதும் மழை; மழையில்லாமல் வளம் கெட்டு நொந்தவர்க்கும் துணையாய் அவ்வாறே காக்க வல்லதும் மழையாகும்,"Tis rain works all: it ruin spreads, then timely aid supplies;As, in the happy days before, it bids the ruined rise.Rain by its absence ruins men; and by its existence restores them to fortune.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
16,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண் பரிது,"Unless drops of precious rain fall down,not even grass will sprout its head.","வானத்திலிருந்து மழைத்துளி வீழ்ந்தால் அல்லாமல், உலகத்தில் ஓரறிவுயிராகிய பசும்புல்லின் தலையையும் காண முடியாது","If from the clouds no drops of rain are shed.'Tis rare to see green herb lift up its head.If no drop falls from the clouds, not even the green blade of grass will be seen.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
17,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின்,"Even the vast ocean will start shrinking,if the clouds that took the water away from it, don’t pour it back.","மேகம் கடலிலிருந்து நீரைக் கொண்டு அதனிடத்திலேயே பெய்யாமல் விடுமானால், பெரிய கடலும் தன் வளம் குன்றிப் போகும்","If clouds restrain their gifts and grant no rain,The treasures fail in ocean's wide domain.Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain).
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
18,சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு,"Special offerings and daily rituals to gods will stop,if the skies dry up.",மழை பெய்யாமல் போகுமானால் இவ்வுலகத்தில் வானோர்க்காக நடைபெறும் திருவிழாவும் நடைபெறாது; நாள் வழிபாடும் நடைபெறாது,"If heaven grow dry, with feast and offering never more,Will men on earth the heavenly ones adore.If the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestials.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
19,தானம் தவமிரண்டும் தங்கா வியனுலகம் வானம் வழங்கா தெனின்,"Charity and penance will both cease to exist in this world,if the clouds are not charitable.","மழை பெய்யவில்லையானால், இந்த பெரிய உலகத்தில் பிறர் பொருட்டு செய்யும் தானமும்,தம் பொருட்டு செய்யும் தவமும் இல்லையாகும்.","If heaven its watery treasures ceases to dispense,Through the wide world cease gifts, and deeds of 'penitence'.If rain fall not, penance and alms-deeds will not dwell within this spacious world.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
20,நீரின் றமையா துலகெனின் யார்யார்க்கும் வானின் றமையா தொழுக்கு,World can’t survive without water and morality can’t exist without rains.,"எப்படிப்பட்டவர்க்கும் நீர் இல்லாமல் உலக வாழ்க்கை நடைபெறாது என்றால், மழை இல்லையானால் ஒழுக்கமும் நிலைபெறாமல் போகும்","When water fails, functions of nature cease, you say;Thus when rain fails, no men can walk in 'duty's ordered way'.If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water.
",The Excellence of Rain,வான் சிறப்பு,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
21,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து வேண்டும் பனுவல் துணிவு,"All books willingly conclude as the most excellent,the greatness of those with the right conduct who have given up attachment.",ஒழுக்கத்தில் நிலைத்து நின்று பற்று விட்டவர்களின் பெருமையைச் சிறந்ததாக போற்றி கூறுவதே நூல்களின் துணிவாகும்.,"The settled rule of every code requires, as highest good,Their greatness who, renouncing all, true to their rule have stood.The end and aim of all treatise is to extol beyond all other excellence, the greatness of those who, while abiding in the rule of conduct peculiar to their state, have abandoned all desire.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று,Trying to quantify the greatness of those who have overcome desire is like counting those who have died till now.,"பற்றுக்களைத் துறந்தவர்களின் பெருமையை அளந்து கூறுதல், உலகத்தில் இதுவரை பிறந்து இறந்தவர்களை கணக்கிடுவதைப்போன்றது.","As counting those that from the earth have passed away,'Tis vain attempt the might of holy men to say.To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
23,இருமை வகைதெரிந் தீண்டறம் பூண்டார் பெருமை பிறங்கிற் றுலகு,"The greatness of those who have known the nature of both worlds,And have eschewed desire to live a righteous life, is most admirable in this world.",பிறப்பு வீடு என்பன போல் இரண்டிரண்டாக உள்ளவைகளின் கூறுபாடுகளை ஆராய்ந்தறிந்து அறத்தை மேற்கொண்டவரின் பெருமையே உலகத்தில் உயர்ந்தது,"Their greatness earth transcends, who, way of both worlds weighed,In this world take their stand, in virtue's robe arrayed.The greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others).
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
24,உரனென்னுந் தோட்டியான் ஓரைந்தும் காப்பான் வரனென்னும் வைப்பிற்கோர் வித்து,"Using the ankus called resoluteness, one who controls the elephant named five senses, is sowing for future glory.","அறிவு என்னும் கருவியினால் ஐம்பொறிகளாகிய யானைகளை அடக்கி காக்க வல்லவன், மேலான வீட்டிற்கு விதை போன்றவன்","He, who with firmness, curb the five restrains,Is seed for soil of yonder happy plains.He who guides his five senses by the hook of wisdom will be a seed in the world of heaven.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
25,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் இந்திரனே சாலுங் கரி,"God, the king of heavens, is an example of what the ability to conquer one’s five senses can result in.","ஐந்து புலன்களாலாகும் ஆசைகளை ஒழித்தவனுடைய வல்லமைக்கு, வானுலகத்தாரின் தலைவனாகிய இந்திரனே போதுமான சான்று ஆவான்","Their might who have destroyed 'the five', shall soothly tellIndra, the lord of those in heaven's wide realms that dwell.Indra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five senses.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
26,செயற்கரிய செய்வார் பெரியர் சிறியர் செயற்கரிய செய்கலா தார்,What separates the great from the ordinary is their ability to do the seemingly impossible.,செய்வதற்கு அருமையான செயல்களை செய்ய வல்லவரே பெரியோர். செய்வதற்கு அரிய செயல்களைச் செய்யமாட்டாதவர் சிறியோர்.,"Things hard in the doing will great men do;Things hard in the doing the mean eschew.The great will do those things which is difficult to be done; but the mean cannot do them.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
27,சுவையொளி ஊறோசை நாற்றமென் றைந்தின் வகைதெரிவான் கட்டே உலகு,"One who has analysed and conquered the urges of taste, sight, touch, sound and smell, will control this world.","சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று சொல்லப்படும் ஐந்தின் வகைகளையும் ஆராய்ந்து அறிய வல்லவனுடைய அறிவில் உள்ளது உலகம்.","Taste, light, touch, sound, and smell: who knows the way Of all the five,- the world submissive owns his sway.The world is within the knowledge of him who knows the properties of taste, sight, touch, hearing and smell.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
28,நிறைமொழி மாந்தர் பெருமை நிலத்து மறைமொழி காட்டி விடும்,"The words of those glorious people, who control their minds completely,become the gospel.","பயன் நிறைந்த மொழிகளில் வல்ல சான்றோரின் பெருமையை, உலகத்தில் அழியாமல் விளங்கும் அவர்களுடைய மறைமொழிகளே காட்டிவிடும்.","The might of men whose word is never vain,The 'secret word' shall to the earth proclaim.The hidden words of the men whose words are full of effect, will shew their greatness to the world.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
29,குணமென்னுங் குன்றேறி நின்றார் வெகுளி கணமேயுங் காத்தல் அரிது,Those who have scaled the mountain of morality will not allow their anger to last for a moment.,"நல்ல பண்புகளாகிய மலையின்மேல் ஏறி நின்ற பெரியோர், ஒரு கணப்பொழுதே சினம் கொள்வார் ஆயினும் அதிலிருந்து ஒருவரைக் காத்தல் அரிதாகும்.","The wrath 'tis hard e'en for an instant to endure,Of those who virtue's hill have scaled, and stand secure.The anger of those who have ascended the mountain of goodness, though it continue but for a moment, cannot be resisted.
",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
30,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்க்கும் செந்தண்மை பூண்டொழுக லான்,"All (and only) those righteous people, who shower love on all living beings,can be classified as Anthanar*.","எல்லா உயிர்களிடத்திலும் செம்மையான அருளை மேற்கொண்டு ஒழுகுவதால், அறவோரே அந்தணர் எனப்படுவோர் ஆவர்.","Towards all that breathe, with seemly graciousness adorned they live;And thus to virtue's sons the name of 'Anthanar' men give.The virtuous are truly called Anthanar; because in their conduct towards all creatures they are clothed in kindness.",The Greatness of Ascetics,நீத்தார் பெருமை,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
31,சிறப்பீனும் செல்வமும் ஈனும் அறத்தினூஉங்கு ஆக்கம் எவனோ உயிர்க்கு,Righteousness yields good reputation and wealth;is there anything more precious?,அறம் சிறப்பையும் அளிக்கும்: செல்வத்தையும் அளிக்கும்: ஆகையால் உயிர்க்கு அத்தகைய அறத்தை விட நன்மையானது வேறு யாது?,"It yields distinction, yields prosperity; what gain
Greater than virtue can a living man obtain?
Virtue will confer heaven and wealth; what greater source of happiness can man possess ?
",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
32,அறத்தினூஉங் காக்கமும் இல்லை அதனை மறத்தலின் ஊங்கில்லை கேடு,Rectitude is the most precious possession;there is nothing more pernicious than straying from it.,ஒரு வருடைய வாழ்கைக்கு அறத்தை விட நன்மையானதும் இல்லை: அறத்தை போற்றாமல் மறப்பதை விடக்கொடியதும் இல்லை.,"No greater gain than virtue aught can cause;
No greater loss than life oblivious of her laws.
There can be no greater source of good than (the practice of) virtue; there can be no greater source of evil than the forgetfulness of it.
",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
33,ஒல்லும் வகையான அறவினை ஓவாதே செல்லும்வாய் எல்லாஞ் செயல்,"Keep doing the morally right things, in every possible manner,wherever you go.","செய்யக்கூடிய வகையால், எக்காரணத்தாலும் விடாமல் செல்லுமிடமெல்லாம் அறச்செயலைப் போற்றிச் செய்ய வேண்டும்.","To finish virtue's work with ceaseless effort strive,
What way thou may'st, where'er thou see'st the work may thrive.
As much as possible, in every way, incessantly practise virtue.",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
34,மனத்துக்கண் மாசிலன் ஆதல் அனைத்தறன் ஆகுல நீர பிற,True moral integrity lies in being flawless in your thoughts;everything else is loud and blatant posturing.,ஒருவன் தன்மனதில் குற்றம் இல்லாதவானாக இருக்க வேண்டும். அறம் அவ்வளவே: மனத்தூய்மை இல்லாத மற்றவை ஆரவாரத் தன்மை உடையவை.,"Spotless be thou in mind! This only merits virtue's name;
All else, mere pomp of idle sound, no real worth can claim.
Let him who does virtuous deeds be of spotless mind; to that extent is virtue; all else is vain show.",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
35,அழுக்கா றவாவெகுளி இன்னாச்சொல் நான்கும் இழுக்கா இயன்ற தறம்,"Righteousness is all about removing the four flaws –envy, desire, anger and harmful words.","பொறாமை, ஆசை, சினம், கடுஞ்சொல் ஆகிய இந்த நான்கு குற்றங்களுக்கும் இடங்கொடுக்காமல் அவற்றைக் கடித்து ஒழுகுவதே அறமாகும்.","Tis virtue when, his footsteps sliding not through envy, wrath,
Lust, evil speech-these four, man onwards moves in ordered path.
That conduct is virtue which is free from these four things, viz, malice, desire, anger and bitter speech.
",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
36,அன்றறிவாம் என்னா தறஞ்செய்க மற்றது பொன்றுங்கால் பொன்றாத் துணை,Do the righteous deeds now without waiting for senility to set in;they will remain your permanent companions then.,"இளைஞராக உள்ளவர், பிற்காலத்தில் பார்த்து கொள்ளலாம் என்று எண்ணாமல் அறம் செய்ய வேண்டும். அதுவே உடல் அழியும் காலத்தில் அழியா துணையாகும்.","Do deeds of virtue now. Say not, 'To-morrow we'll be wise';
Thus, when thou diest, shalt thou find a help that never dies.
Defer not virtue to another day; receive her now; and at the dying hour she will be your undying friend.
",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
37,அறத்தா றிதுவென வேண்டா சிவிகை பொறுத்தானோ டூர்ந்தான் இடை,"One man lifting another on a palanquin,can’t be justified as the fruit of any prior moral deeds.",பல்லக்கை சுமப்பவனும் அதன்மேலிருந்து ஊர்ந்து செல்லுவோனுமாகிய அவர்களிடையே அறத்தின் பயன் இஃது என்று கூறவேண்டா.,"Needs not in words to dwell on virtue's fruits: compare
The man in litter borne with them that toiling bear!
The fruit of virtue need not be described in books; it may be inferred from seeing the bearer of a palanquin and the rider therein.",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
38,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன் வாழ்நாள் வழியடைக்கும் கல்,"Never let a day pass without a good deed;
it makes this life fulfilling and the next unnecessary.",ஒருவன் அறம் செய்ய தவறிய நாள் ஏற்படாதவாறு அறத்தை செய்வானானால் அதுவே அவன் உடலோடு வாழும் நாள் வரும் பிறவி வழியை அடைக்கும் கல்லாகும்.,"If no day passing idly, good to do each day you toil,
A stone it will be to block the way of future days of moil.
If one allows no day to pass without some good being done, his conduct will be a stone to block up the passage to other births.",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
39,அறத்தான் வருவதே இன்பமற் றெல்லாம் புறத்த புகழும் இல,"True joy blossoms only due to righteous deeds;
all else cause unhappiness and disrepute.",அறநெறியில் வாழ்வதன் பயனாக வருவதே இன்பமாகும். அறத்தோடு பொருந்தாமல் வருவன எல்லாம் இன்பம் இல்லாதவை: புகழும் இல்லாதவை.,"What from virtue floweth, yieldeth dear delight;
All else extern, is void of glory's light.
Only that pleasure which flows from domestic virtue is pleasure; all else is not pleasure, and it is without praise.",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
40,செயற்பால தோரும் அறனே ஒருவற்கு உயற்பால தோரும் பழி,"A righteous deed deserves to be done; an evil deed ought to be avoided to
protect oneself from infamy.",ஒருவன் வாழ்நாளில் முயற்சி மேற்கொண்டு செய்யத்தக்கது அறமே. செய்யாமல் காத்து கொள்ளத்தக்கது பழியே.,"Virtue' sums the things that should be done;
'Vice' sums the things that man should shun.
That is virtue which each ought to do, and that is vice which each should shun.",Assertion of the Strength of Virtue,அறன் வலியுறுத்தல்,பாயிரவியல்,Introduction,VIRTUE,அறத்துப்பால்
41,இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை,"A good family person is one who supports all three relationships (parents, wife, children)
in a balanced and righteous manner.",இல்லறத்தில் வாழ்பவனாகச் சொல்லப்படுகிறவன் அறத்தின் இயல்பை உடைய மூவருக்கும் நல்வழியில் நிலை பெற்ற துணையாவான்.,"The men of household virtue, firm in way of good, sustain
The other orders three that rule professed maintain.
He will be called a (true) householder, who is a firm support to the virtuous of the three orders in their good path.", Domestic Life,இல்வாழ்க்கை,இல்லறவியல்,Domestic Virtue,VIRTUE,அறத்துப்பால்
42,துறந்தார்க்கும் துவ்வா தவர்க்கும் இறந்தார்க்கும் இல்வாழ்வான் என்பான் துணை,"A good family person also extends support
to saints, poor and needy.",துறந்தவர்கும் வறியவர்க்கும் தன்னிடத்தே இறந்தவர்க்கும் இல்லறம் மேற்கொண்டு வாழ்கிறவன் துணையாவான்.,"To anchorites, to indigent, to those who've passed away,
The man for household virtue famed is needful held and stay.
He will be said to flourish in domestic virtue who aids the forsaken, the poor, and the dead.", Domestic Life,இல்வாழ்க்கை,இல்லறவியல்,Domestic Virtue,VIRTUE,அறத்துப்பால்
43,தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு ஐம்புலத்தா றோம்பல் தலை,"Teachers, God, guests, relatives and oneself – it is important
to nurture all these five in addition to the family.","தென்புலத்தார், தெய்வம் விருந்தினர், சுற்றத்தார், தான் என்ற ஐவகையிடத்தும் அறநெறி தவறாமல் போற்றுதல் சிறந்த கடமையாகும்","The manes, God, guests kindred, self, in due degree,
These five to cherish well is chiefest charity.
The chief (duty of the householder) is to preserve the five-fold rule (of conduct) towards the manes, the Gods, his guests, his relations and himself.", Domestic Life,இல்வாழ்க்கை,இல்லறவியல்,Domestic Virtue,VIRTUE,அறத்துப்பால்
44,பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை வழியெஞ்சல் எஞ்ஞான்றும் இல,"One who earns well but avoids the blame of hoarding wealth,
by philanthropy, will lead a complete life with no complaints.","பொருள் சேர்க்கும் பொது பழிக்கு அஞ்சிச் சேர்த்து, செலவு செய்யும் போது பகுந்து உண்பதை மேற்க்கொண்டால், அவ்வாழ்கையின் ஒழுங்கு எப்போதும் குறைவதில்லை.","Who shares his meal with other, while all guilt he shuns,
His virtuous line unbroken though the ages runs.
His descendants shall never fail who, living in the domestic state, fears vice (in the acquisition of property) and shares his food (with others).", Domestic Life,இல்வாழ்க்கை,இல்லறவியல்,Domestic Virtue,VIRTUE,அறத்துப்பால்
